Sample_Num,PPG_Sensor1_Raw,PPG_Sensor2_Raw
793,3758096828,1040187556
794,1023410624,1006633144
795,50332092,3137374336
796,1644167615,3204448378
797,654311870,1040220219
798,2583691708,3187671194
799,872415677,1006657664
800,2315256254,3204448378
801,486539707,3170893946
802,1845494200,1040187551
803,3221225916,1023442977
804,503316923,3187693696
805,3506438590,3204481211
806,536871355,3204510141
807,3405775294,3238002692
808,872415675,1006661759
809,1728053692,3204505643
810,1526727099,1056997435
811,1342177722,1040187408
812,1476395452,3137339530
813,2751463867,1006639350
814,4060086715,1073768511
815,4244636090,3238002707
816,1509949880,1023434858
817,3003122104,1056998970
818,1895825848,3238033980
819,805306806,3254779986
820,1845494199,1023410305
821,2231370166,3204505643
822,1895825848,3221233739
823,3858760119,3204448262
824,3976200630,1023410416
825,520094136,3154172118
826,3875537334,3221242012
827,1879048631,1056964832
828,2113929655,989888640
829,1694499254,3204481083
830,352321974,3204486158
831,1895825846,3238002824
832,553648570,1006633044
833,1442841018,1006647424
834,1543504311,3204470808
835,939524536,3238061033
836,520094137,3238002722
837,3170894265,3170894779
838,3305111992,3238043553
839,4110418362,3238002928
840,905970104,989859983
841,2097152440,3212862538
842,4076863927,1107337951
843,2936013239,3238002942
844,3456106938,3154116858
845,1056965048,3170900101
846,335544760,3204453218
847,2231370170,3254835414
848,822084022,1073741999
849,3556770230,3170934902
850,3204448691,3204464326
851,184549813,1111518106
852,352321970,3254780087
853,3539993010,3170893855
854,1694499250,3187699848
855,1442841012,3212849321
856,318767536,3254804586
857,2130706866,3221258261
858,855638451,3187720350
859,2399142323,3204492191
860,3758096757,3238062205
861,654311797,3221225498
862,553648501,3187724431
863,520094069,3204468696
864,637534581,1090550225
865,1040187765,1090551808
866,1358954869,3187703909
867,1795162485,3187675265
868,1610613109,3204472001
869,2248147317,1073757424
870,1744830837,3221241906
871,2130706805,3187673219
872,2147484021,3217093366
873,2030043509,1107313263
874,2063597941,3238051903
875,2399142261,3187679369
876,2281701749,3187728503
877,2264924533,3204471873
878,2214592885,3238044853
879,2147484021,1073790986
880,2013266293,3187691625
881,1728053621,3212846358
882,2063597941,1124112909
883,2248147317,3238051897
884,1509949813,3187683436
885,1325400437,3208644606
886,2734686581,1107354836
887,2634023285,3221241856
888,2281701749,3187679461
889,2600468853,3187703874
890,2466251125,3204507541
891,2550137205,1090525430
892,1140851061,3221225497
893,1577058677,3187675205
894,1728053621,3204478971
895,1828716917,1107337356
896,1627390325,1056981019
897,2063597941,3187695660
898,1174405493,3204448306
899,2130706805,3204448273
900,1828716917,3187712030
901,1946157429,3204493414
902,1979711861,3204475901
903,2164261237,3238031380
904,2382365045,1073741829
905,2650800501,3187720407
906,2936013173,3187718045
907,2332033397,1115689753
908,2080375157,3254812717
909,2868904309,3187675212
910,3204448629,3204460599
911,2751463797,3204501636
912,2566914421,3254810726
913,2852127093,3221258309
914,1879048565,3187716127
915,2986344821,3217047298
916,2415919477,1132477244
917,2768241013,3254812709
918,2264924533,3187679282
919,1979711861,3204452352
920,1862271349,3204453923
921,1862271349,3254803414
922,1459618165,3238051928
923,1392509301,3196084852
924,637534581,3254786636
925,1560281461,3238035547
926,369099125,3187691553
927,1912602997,3204474006
928,989856117,1107349401
929,1879048565,3238051849
930,939524469,3187720249
931,1711276405,3204448455
932,1409286517,3187732562
933,1577058677,3238027370
934,603980149,1056981056
935,889192821,3196072212
936,889192821,3254790176
937,2013266293,1073791053
938,1728053621,3187695618
939,2197815669,3204494428
940,2013266293,1107303116
941,1560281461,3238043845
942,1476395381,3187677772
943,1610613109,1090534512
944,1526727029,3238002752
945,1828716917,3187679322
946,1577058677,3204481208
947,1040187765,3187730325
948,922747253,3238046260
949,1056964981,3238051931
950,1325400437,3187671051
951,1543504245,3212849193
952,553648501,3254840724
953,889192820,3238019154
954,4211081589,3187724391
955,100663669,3204481207
956,50332021,3187696790
957,419430772,3221249922
958,3724542325,3238002750
959,201326965,3187699746
960,134218100,3214939153
961,3992977781,3271620647
962,201326964,3221225508
963,4160749940,3187732550
964,4160749941,3204448270
965,201326965,3204506006
966,369099124,1090527777
967,3925868917,1090519141
968,301990260,3187683350
969,4227858804,3204492893
